metric,pure_llm,naive_rag,lightrag,full_system,pure_llm_sd,naive_rag_sd,lightrag_sd,full_system_sd
Exact-5 accuracy,0.3036,0.6054,0.6125,0.8054,0.0389,0.033,0.0135,0.0116
Exact-3 accuracy,0.3696,0.9054,0.9196,0.8232,0.0287,0.0135,0.0126,0.0116
Macro-F1 (5-class),0.2536,0.5139,0.5362,0.825,0.0291,0.0427,0.0121,0.0222
Cohen's kappa,0.079,0.5123,0.5251,0.7303,0.0534,0.0409,0.0118,0.016
Against sensitivity,0.416,0.992,1.0,0.872,0.0829,0.0179,0.0,0.0179
Against specificity,0.7195,0.931,0.9218,0.9862,0.0209,0.0215,0.017,0.0096
Against F1,0.3461,0.8896,0.8808,0.9085,0.0533,0.0284,0.0228,0.0231
