expert_id,case_id,action_choice,likert_clarity,likert_usefulness,likert_recommendation,likert_evidence,note
1,case1_unifocal_scheme,conditional,5,5,5,5,如果后续患者不做前列腺根治性切除术，而选择内放疗或者不可逆电穿孔手术，则需要明确是否确实是单发病灶。如果是多发病灶，则系统穿刺可以协助明确肿瘤具体位置
1,case2_psma_pet_upfront,report_option,5,5,5,5,如果这名患者TPSA非常高，比如＞100ng/ml，很可能已经发生淋巴结转移或者骨转移，则应该考虑将PSMA PET-CT代替增强MR作为前列腺穿刺前的影像学检查。因为这类患者在穿刺病例证实为前列腺癌以后，绝对有必要探明有无前列腺癌局部或远处转移
1,case3_bpmri_indeterminate,endorse,5,5,5,5,
1,case4_advanced_route_prophylaxis,endorse,5,5,5,5,
1,case5_infection_risk_escalation,endorse_option,5,5,5,5,
2,case1_unifocal_scheme,conditional,5,5,5,5,是否增加系统穿刺，需要考虑患者手术方案的选择
2,case2_psma_pet_upfront,against,5,5,5,5,
2,case3_bpmri_indeterminate,endorse,5,5,5,5,
2,case4_advanced_route_prophylaxis,endorse,5,5,5,5,
2,case5_infection_risk_escalation,endorse_option,5,5,5,5,
3,case1_unifocal_scheme,against,5,5,5,5,
3,case2_psma_pet_upfront,against,5,5,5,5,
3,case3_bpmri_indeterminate,endorse,5,5,5,5,
3,case4_advanced_route_prophylaxis,endorse,5,5,5,5,
3,case5_infection_risk_escalation,endorse_option,5,5,5,5,
4,case1_unifocal_scheme,against,5,5,5,5,
4,case2_psma_pet_upfront,against,5,5,5,5,
4,case3_bpmri_indeterminate,endorse,5,5,5,5,
4,case4_advanced_route_prophylaxis,endorse,5,5,5,5,
4,case5_infection_risk_escalation,endorse_option,5,5,5,5,
